Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew
Journey,Azamara,6,30.277,694,5.94,3.55,42.64,36
Quest,Azamara,6,30.277,694,5.94,3.55,42.64,36
Celebration,Carnival,26,47.262,1486,7.22,7.43,31.8,67
Conquest,Carnival,11,110,2974,9.53,14.88,36.99,191
Destiny,Carnival,17,101.353,2642,8.92,13.21,38.36,100
Ecstasy,Carnival,22,70.367,2052,8.55,10.2,34.29,92
Elation,Carnival,15,70.367,2052,8.55,10.2,34.29,92
Fantasy,Carnival,23,70.367,2056,8.55,10.22,34.23,92
Fascination,Carnival,19,70.367,2052,8.55,10.2,34.29,92
Freedom,Carnival,6,110.239,3700,9.51,14.87,29.79,115
Glory,Carnival,10,110,2974,9.51,14.87,36.99,116
Holiday,Carnival,28,46.052,1452,7.27,7.26,31.72,66
Imagination,Carnival,18,70.367,2052,8.55,10.2,34.29,92
Inspiration,Carnival,17,70.367,2052,8.55,10.2,34.29,92
Legend,Carnival,11,86,2124,9.63,10.62,40.49,93
Liberty*,Carnival,8,110,2974,9.51,14.87,36.99,116
Miracle,Carnival,9,88.5,2124,9.63,10.62,41.67,103
Paradise,Carnival,15,70.367,2052,8.55,10.2,34.29,92
Pride,Carnival,12,88.5,2124,9.63,11.62,41.67,93
Sensation,Carnival,20,70.367,2052,8.55,10.2,34.29,92
Spirit,Carnival,12,88.5,2124,9.63,10.56,41.67,103
Triumph,Carnival,14,101.509,2758,8.93,13.21,36.81,100
Valor,Carnival,9,110,2974,9.52,14.87,36.99,116
Victory,Carnival,13,101.509,2758,8.93,13.79,36.81,115
Century,Celebrity,18,70.606,1770,8.15,8.75,39.89,86
Constellation,Celebrity,11,91,2032,9.65,9.75,44.78,100
Galaxy,Celebrity,17,77.713,1890,8.66,9.35,41.12,91
Infinity,Celebrity,12,91,2032,9.65,9.75,44.78,100
Mercury,Celebrity,16,77.713,1882,8.66,9.35,41.29,91
Millenium,Celebrity,13,91,2032,9.65,9.75,44.78,100
Solstice,Celebrity,5,122,2850,10.33,6.87,34.57,67
Summit,Celebrity,12,91,2032,9.65,9.75,44.78,100
Xpedition,Celebrity,12,2.329,94,2.96,0.45,24.78,6
Zenith,Celebrity,21,47.225,1366,6.82,6.87,34.57,67
Allegra,Costa,21,28.43,808,6.16,4.1,35.19,40
Atlantica,Costa,13,85.619,2114,9.57,10.56,40.5,92
Classica,Costa,22,52.926,1302,7.18,6.54,40.65,62
Europa,Costa,27,53.872,1494,7.98,7.67,36.06,64
Fortuna,Costa,10,105,2720,8.9,13.56,38.6,107
Magica,Costa,9,105,2720,8.9,13.56,38.6,107
Marina,Costa,23,25,776,6.22,3.86,32.22,39
Mediterranea,Costa,10,86,2114,9.6,10.56,40.68,92
Romantica,Costa,20,53.049,1344,7.22,6.78,39.47,60
Serena,Costa,6,112,3800,9.51,15,29.47,109
Victoria,Costa,17,75.166,1928,8.28,9.64,38.99,77
Serenity,Crystal,10,68,1080,7.9,5.5,62.96,64
Symphony,Crystal,18,51.004,940,7.81,4.8,54.26,55
QueenElizabethII,Cunard,44,70.327,1791,9.63,9.5,39.27,92
QueenMary2,Cunard,10,151.4,2620,11.32,11.34,57.79,125
QueenVictoria,Cunard,6,90,2000,9.64,10.29,45,90
Magic,Disney,15,83.338,1750,9.64,8.75,47.62,95
Wonder,Disney,14,83,1750,9.64,8.75,47.43,95
Amsterdam,Holland_American,13,61,1380,7.8,6.88,44.2,60
Eurodam,Holland_American,5,86,2104,9.36,10.22,40.87,80
Maasdam,Holland_American,20,55.451,1264,7.19,6.32,43.87,56
Noordam,Holland_American,29,33.92,1214,7.04,6.07,27.94,53
Oosterdam,Holland_American,10,81.769,1848,9.59,9.24,44.25,84
Prinsendam,Holland_American,25,38,749,6.74,3.96,50.73,46
Rotterdam,Holland_American,16,59.652,1320,7.77,6.6,45.19,64
Ryndam,Holland_American,19,55.451,1266,7.19,6.33,43.8,59
Statendam,Holland_American,20,55.451,1266,7.19,6.33,43.8,59
Veendam,Holland_American,17,55.451,1266,7.19,6.33,43.8,59
Volendam,Holland_American,14,63,1440,7.77,7.2,43.75,56
Westerdam,Holland_American,27,53.872,1494,7.98,7.47,36.06,61
Zaandam,Holland_American,13,63,1440,7.77,7.2,43.75,53
Zuiderdam,Holland_American,11,85,1848,9.51,9.24,46,80
Armonia,MSC,12,58.6,1566,8.24,7.83,37.42,70
Fantasia,MSC,5,133.5,3959,10.93,16.37,33.72,131
Lirica,MSC,10,58.825,1560,8.23,7.65,37.71,70
Melody,MSC,31,35.143,1250,6.69,5.32,28.11,54
Musica,MSC,7,89.6,2550,9.61,12.75,35.14,99
Opera,MSC,9,59.058,1700,7.63,8.5,34.74,74
Rhapsody,MSC,36,16.852,952,5.41,3.83,17.7,30
Sinfonia,MSC,11,58.6,1566,8.23,7.83,37.42,76
Crown,Norwegian,25,34.25,1052,6.15,5.26,32.56,47
Dawn,Norwegian,11,90,2240,9.65,11.2,40.18,110
Dream,Norwegian,21,50.76,1748,7.54,8.74,29.04,61
Gem,Norwegian,6,93,2394,9.65,11.97,38.85,111
Jewel,Norwegian,8,91,2244,9.65,11.22,40.55,110
Majesty,Norwegian,21,38,1056,5.67,5.28,35.98,44
PrideofAloha,Norwegian,14,77.104,2002,8.53,10.01,38.51,80
PrideofAmerica,Norwegian,9,81,2144,9.21,10.72,37.78,100
Sea,Norwegian,25,42,1504,7.08,7.52,27.93,63
Spirit,Norwegian,15,75.338,1956,8.79,9.83,38.52,130
Star,Norwegian,40,28,1150,6.74,4,24.35,38
Sun,Norwegian,12,77.104,2002,8.53,10.01,38.51,96
Wind,Norwegian,20,50.76,1748,7.54,8.74,29.04,61
Insignia,Oceania,15,30.277,684,5.94,3.42,44.26,40
Nautica,Oceania,13,30.277,684,5.94,3.42,44.26,40
Regatta,Oceania,15,30.277,684,5.94,3.42,44.26,40
MarcoPolo,Orient,48,22.08,826,5.78,4.25,26.73,35
Arcadia,P&O,9,85,1968,9.35,9.84,43.19,87
Artemis,P&O,29,45,1178,7.54,5.3,38.2,52
Aurora,P&O,13,76,1874,8.86,9.39,40.55,85
Oceana,P&O,10,77,2016,8.56,9.75,38.19,90
Oriana,P&O,18,69.153,1882,8.53,9.14,36.74,79
Ventura,P&O,5,115,3574,9,15.32,32.18,122
Caribbean,Princess,9,116,2600,9.51,13,44.62,110
Coral,Princess,11,91.627,1974,9.64,9.87,46.42,90
Crown,Princess,7,116,3100,9.51,15.57,37.42,120
Dawn,Princess,16,77.499,1950,8.56,10.5,39.74,90
Diamond,Princess,9,113,2674,9.51,13.37,42.26,124
Emerald,Princess,6,113,3782,9.51,15.57,29.88,120
Golden,Princess,12,108.865,2758,9.51,13,39.47,110
Grand,Princess,15,108.806,2600,9.51,13,41.85,111
Island,Princess,10,91.627,1974,9.64,9.87,46.42,90
Pacific,Princess,14,30.277,686,5.93,3.44,44.14,37
Regal,Princess,22,69.845,1590,8.03,7.95,43.93,70
Royal,Princess,29,44.348,1200,7.54,6,36.96,52
Saphire,Princess,9,113,2674,9.51,13.37,42.26,124
Sea,Princess,8,77.499,1950,8.56,9.75,39.74,90
Star,Princess,11,108.977,2602,9.51,13.01,41.88,120
Sun,Princess,18,77.499,1950,8.56,9.75,39.74,90
Tahitian,Princess,14,30.277,688,5.93,3.44,44.01,37
ExplorerII,Regent_Seven_Seas,27,12.5,394,4.36,0.88,31.73,15
Mariner,Regent_Seven_Seas,12,50,700,7.09,3.54,71.43,45
Navigator,Regent_Seven_Seas,14,33,490,5.6,2.45,67.35,32
PaulGauguin,Regent_Seven_Seas,16,19.2,320,5.13,1.6,60,21
Voyager,Regent_Seven_Seas,10,46,700,6.7,1.82,65.71,45
Adventure,Royal_Caribbean,12,138,3114,10.2,15.57,44.32,119
Brilliance,Royal_Caribbean,11,90.09,2501,9.62,10.5,36.02,85
Empress,Royal_Caribbean,23,48.563,2020,6.92,8,24.04,67
Enchantment,Royal_Caribbean,16,74.137,1950,9.16,9.75,38.02,76
Explorer,Royal_Caribbean,13,138,3114,10.2,15.57,44.32,118
Freedom,Royal_Caribbean,7,158,4370,11.12,18,36.16,136
Grandeur,Royal_Caribbean,17,74.137,1950,9.16,9.75,38.02,76
Independence,Royal_Caribbean,5,160,3634,11.12,18.17,44.03,136
Jewel,Royal_Caribbean,9,90.09,2501,9.62,10.94,36.02,87
Legend,Royal_Caribbean,18,70,1800,8.67,9,38.89,72
Liberty,Royal_Caribbean,6,158,4370,11.25,18,36.16,136
Majesty,Royal_Caribbean,21,73.941,2744,8.8,11.75,26.95,82
Mariner,Royal_Caribbean,10,138,3114,10.2,15.57,44.32,119
Monarch,Royal_Caribbean,22,73.941,2744,8.8,11.77,30.94,82
Navigator,Royal_Caribbean,11,138,3114,10.2,15.57,44.32,119
Oasis,Royal_Caribbean,4,220,5400,11.82,27,40.74,210
Radiance,Royal_Caribbean,12,90.09,2501,9.62,10.5,36.02,87
Rhapsody,Royal_Caribbean,16,78.491,2435,9.15,10,32.23,77
Serenade,Royal_Caribbean,10,90.09,2501,9.62,10.5,36.02,86
Sovreign,Royal_Caribbean,25,73.192,2852,8.8,11.38,25.66,81
Splendour,Royal_Caribbean,17,70,2076,8.67,9.02,33.72,72
Vision,Royal_Caribbean,15,78.491,2435,9.15,10,32.23,66
Voyager,Royal_Caribbean,14,138,3114,10.2,15.57,44.32,118
Legend,Seabourn,21,10,208,4.4,1.04,48.08,16
Pride,Seabourn,27,10,208,4.4,1.04,48.08,16
Spirit,Seabourn,24,10,208,4.4,1.04,48.08,16
Cloud,Silversea,19,16.8,296,5.14,1.48,56.76,21
Shadow,Silversea,13,25,382,5.97,1.94,65.45,30
Whisper,Silversea,12,25,388,5.97,1.94,64.43,29
Wind,Silversea,19,16.8,296,5.14,1.48,56.76,20
Aries,Star,22,3.341,66,2.8,0.33,50.62,6
Gemini,Star,21,19.093,800,5.37,4,23.87,47
Libra,Star,12,42,1480,7.13,7.4,28.38,68
Pisces,Star,24,40.053,1287,5.79,7.76,31.12,75
Taurus,Star,22,3.341,66,2.79,0.33,50.62,6
Virgo,Star,14,76.8,1960,8.79,9.67,39.18,120
Spirit,Windstar,25,5.35,158,4.4,0.74,33.86,9
Star,Windstar,27,5.35,167,4.4,0.74,32.04,9
Surf,Windstar,23,14.745,308,6.17,1.56,47.87,18